,SPY,EFA,EEM,TLT,LQD
2004-01-26,80.931206,27.92831,13.712386,48.043388,53.341412
2004-01-27,80.100029,27.805433,13.643096,48.342102,53.665634
2004-01-28,79.185074,27.4487,13.450186,47.91618,53.241314
2004-01-29,79.261864,27.484371,13.238375,47.816593,53.23175
2004-01-30,79.261864,27.413034,13.220273,48.148521,53.360508
2004-02-02,79.604126,27.349604,13.223418,48.047432,53.346153
2004-02-03,79.471436,27.399158,13.149405,48.291832,53.456249
2004-02-04,78.821846,27.101871,13.031293,48.197369,53.413132
2004-02-05,79.05233,27.21484,13.027357,48.008537,53.32222
2004-02-06,79.939369,27.728144,13.324202,48.536213,53.480171
2004-02-09,79.960335,27.902548,13.516326,48.680672,53.705139
2004-02-10,80.218796,28.023436,13.504514,48.408485,53.547234
2004-02-11,81.070885,28.34054,13.713965,48.769512,53.872681
2004-02-12,80.777542,28.092796,13.706875,48.563992,53.776951
2004-02-13,80.414368,28.057127,13.716326,48.769512,54.083263
2004-02-17,81.140778,28.598175,13.991908,48.736179,53.925301
2004-02-18,80.784538,28.201801,13.801359,48.802837,53.80085
2004-02-19,80.484215,28.390076,13.68089,48.852825,53.992348
2004-02-20,80.239731,28.043261,13.527347,48.514027,53.72908
2004-02-23,80.037209,28.122534,13.409241,48.813965,53.877441
2004-02-24,79.897461,28.013536,13.338375,48.90284,53.930092
2004-02-25,80.232765,27.805433,13.484045,48.98061,53.96843
2004-02-26,80.281631,27.815338,13.550971,48.825077,54.00668
2004-02-27,80.33754,28.043261,13.743095,49.247211,54.164658
2004-03-01,81.133781,28.419809,14.056479,49.228264,54.147839
2004-03-02,80.658829,27.96398,13.944667,48.915939,54.042099
2004-03-03,80.805473,27.904522,13.858059,48.826729,54.018066
2004-03-04,81.015053,27.993711,13.952538,49.044182,54.104618
2004-03-05,81.287422,28.320713,14.003718,49.992302,54.681198
2004-03-08,80.295624,28.138393,13.869866,50.287865,54.834946
2004-03-09,79.974312,27.94416,13.779313,50.622509,54.945423
2004-03-10,78.633255,27.496256,13.464355,50.589058,55.123249
2004-03-11,77.613487,27.050341,13.173024,50.66156,54.887806
2004-03-12,78.633255,27.28817,13.283256,50.349232,54.825336
2004-03-15,77.66938,26.824423,13.03523,50.432892,54.887806
2004-03-16,78.08149,27.07214,13.196645,50.851162,55.137676
2004-03-17,78.954567,27.636971,13.377746,50.767529,55.16647
2004-03-18,78.975494,27.627064,13.456488,50.49979,54.935844
2004-03-19,77.843529,27.270334,13.279325,50.432892,54.849358
2004-03-22,76.855255,26.915581,13.066726,50.739639,55.060806
2004-03-23,76.722069,27.121695,13.198222,50.828869,55.161686
2004-03-24,76.785156,27.014668,13.20846,50.800968,55.108833
2004-03-25,77.801468,27.527983,13.337593,50.60574,54.959862
2004-03-26,77.822502,27.409058,13.313181,50.070389,54.551437
2004-03-29,78.915916,27.805433,13.484045,49.735775,54.637943
2004-03-30,79.182297,27.864883,13.649393,49.702305,54.50341
2004-03-31,79.273422,28.063072,13.818683,49.942112,54.700424
2004-04-01,79.750023,28.435665,13.931285,49.778671,54.676804
2004-04-02,80.352814,28.516922,14.07065,48.54689,53.823055
2004-04-05,80.794373,28.516922,14.169069,48.166168,53.552975
2004-04-06,80.535049,28.429718,14.247812,48.429333,53.803761
2004-04-07,80.34581,28.47332,14.19663,48.317352,53.818203
2004-04-08,80.163567,28.413858,14.208443,48.177391,53.871296
2004-04-12,80.478996,28.598175,14.317894,48.003822,53.543289
2004-04-13,79.350525,28.231548,14.15097,47.483124,53.205688
2004-04-14,79.476662,27.940191,13.942308,47.443974,53.133343
2004-04-15,79.175255,27.745977,13.826561,47.16399,52.911457
2004-04-16,79.785088,28.043261,13.928918,47.343185,53.215347
2004-04-19,79.785088,28.072987,13.952538,47.242401,53.118828
2004-04-20,78.446342,27.686525,13.830498,46.811279,52.77158
2004-04-21,78.972008,27.874798,13.728137,47.04084,52.814972
2004-04-22,80.079475,28.072987,13.724202,47.320766,53.104378
2004-04-23,80.156563,28.033339,13.826561,47.05204,52.877701
2004-04-26,80.044403,28.025419,13.629711,47.130451,52.882515
2004-04-27,80.114525,28.053171,13.557269,47.309589,53.133343
